promoter_id	tss_id
CPROM564	CTSS692
CPROM564	CTSS693
CPROM565	CTSS694
CPROM566	CTSS695
CPROM567	CTSS696
CPROM568	CTSS697
CPROM569	CTSS698
CPROM570	CTSS699
CPROM571	CTSS700
CPROM572	CTSS701
CPROM573	CTSS702
CPROM574	CTSS703
CPROM575	CTSS704
CPROM576	CTSS705
CPROM577	CTSS706
CPROM577	CTSS707
CPROM577	CTSS708
CPROM577	CTSS709
CPROM578	CTSS710
CPROM578	CTSS711
CPROM578	CTSS712
CPROM579	CTSS713
CPROM580	CTSS714
CPROM581	CTSS715
CPROM582	CTSS716
CPROM583	CTSS717
CPROM584	CTSS718
CPROM585	CTSS719
CPROM586	CTSS720
CPROM587	CTSS721
CPROM588	CTSS722
CPROM589	CTSS723
CPROM589	CTSS724
CPROM590	CTSS725
CPROM590	CTSS726
CPROM591	CTSS727
CPROM592	CTSS728
CPROM593	CTSS729
CPROM594	CTSS730
CPROM595	CTSS731
CPROM596	CTSS732
CPROM597	CTSS733
CPROM598	CTSS734
CPROM599	CTSS735
CPROM600	CTSS736
CPROM601	CTSS737
CPROM602	CTSS738
CPROM603	CTSS739
CPROM604	CTSS740
CPROM605	CTSS741
CPROM606	CTSS742
CPROM607	CTSS743
CPROM608	CTSS744
CPROM608	CTSS745
CPROM609	CTSS746
CPROM610	CTSS747
CPROM611	CTSS748
CPROM612	CTSS749
CPROM613	CTSS750
CPROM613	CTSS751
CPROM614	CTSS752
CPROM614	CTSS753
CPROM615	CTSS754
CPROM616	CTSS755
CPROM617	CTSS756
CPROM617	CTSS757
CPROM618	CTSS758
CPROM618	CTSS759
CPROM618	CTSS760
CPROM618	CTSS761
CPROM619	CTSS762
CPROM620	CTSS763
CPROM621	CTSS764
CPROM622	CTSS765
CPROM623	CTSS766
CPROM624	CTSS767
CPROM625	CTSS768
CPROM626	CTSS769
CPROM627	CTSS770
CPROM628	CTSS771
CPROM628	CTSS772
CPROM629	CTSS773
CPROM630	CTSS774
CPROM631	CTSS775
CPROM632	CTSS776
CPROM633	CTSS777
CPROM634	CTSS778
CPROM635	CTSS779
CPROM636	CTSS780
CPROM636	CTSS781
CPROM636	CTSS782
CPROM636	CTSS783
CPROM636	CTSS784
CPROM637	CTSS785
CPROM638	CTSS786
CPROM639	CTSS787
CPROM640	CTSS788
CPROM641	CTSS789
CPROM642	CTSS790
CPROM643	CTSS791
CPROM644	CTSS792
CPROM645	CTSS793
CPROM646	CTSS794
CPROM647	CTSS795
CPROM648	CTSS796
CPROM649	CTSS797
CPROM650	CTSS798
CPROM651	CTSS799
CPROM652	CTSS800
CPROM653	CTSS801
CPROM654	CTSS802
CPROM655	CTSS803
CPROM655	CTSS804
CPROM656	CTSS805
CPROM657	CTSS806
CPROM658	CTSS807
CPROM659	CTSS808
CPROM660	CTSS809
CPROM661	CTSS810
CPROM662	CTSS811
CPROM662	CTSS812
CPROM663	CTSS813
CPROM664	CTSS814
CPROM665	CTSS815
CPROM666	CTSS816
CPROM667	CTSS817
CPROM667	CTSS818
CPROM668	CTSS819
CPROM668	CTSS820
CPROM668	CTSS821
CPROM668	CTSS822
CPROM668	CTSS823
CPROM669	CTSS824
CPROM670	CTSS825
CPROM671	CTSS826
CPROM672	CTSS827
CPROM673	CTSS828
CPROM673	CTSS829
CPROM674	CTSS830
CPROM674	CTSS831
CPROM675	CTSS832
CPROM675	CTSS833
CPROM676	CTSS834
CPROM677	CTSS835
CPROM678	CTSS836
CPROM679	CTSS837
CPROM680	CTSS838
CPROM681	CTSS839
CPROM682	CTSS840
CPROM683	CTSS841
CPROM684	CTSS842
CPROM685	CTSS843
CPROM686	CTSS844
CPROM687	CTSS845
CPROM688	CTSS846
CPROM689	CTSS847
CPROM690	CTSS848
CPROM691	CTSS849
CPROM692	CTSS850
CPROM693	CTSS851
CPROM694	CTSS852
CPROM695	CTSS853
CPROM696	CTSS854
CPROM696	CTSS855
CPROM697	CTSS856
CPROM698	CTSS857
CPROM699	CTSS858
CPROM700	CTSS859
CPROM701	CTSS860
CPROM701	CTSS861
CPROM702	CTSS862
CPROM702	CTSS863
CPROM703	CTSS864
CPROM704	CTSS865
CPROM705	CTSS866
CPROM705	CTSS867
CPROM705	CTSS868
CPROM706	CTSS869
CPROM707	CTSS870
CPROM708	CTSS871
CPROM709	CTSS872
CPROM710	CTSS873
CPROM711	CTSS874
CPROM712	CTSS875
CPROM713	CTSS876
CPROM714	CTSS877
CPROM715	CTSS878
CPROM715	CTSS879
CPROM716	CTSS880
CPROM717	CTSS881
CPROM718	CTSS882
CPROM719	CTSS883
CPROM720	CTSS884
CPROM721	CTSS885
CPROM721	CTSS886
CPROM721	CTSS887
CPROM722	CTSS888
CPROM723	CTSS889
CPROM724	CTSS890
CPROM725	CTSS891
CPROM726	CTSS892
CPROM727	CTSS893
CPROM728	CTSS894
CPROM729	CTSS895
CPROM730	CTSS897
CPROM730	CTSS898
CPROM731	CTSS896
CPROM732	CTSS899
CPROM733	CTSS900
CPROM734	CTSS901
CPROM734	CTSS902
CPROM734	CTSS903
CPROM735	CTSS904
CPROM736	CTSS905
CPROM737	CTSS906
CPROM738	CTSS907
CPROM739	CTSS908
CPROM740	CTSS909
CPROM741	CTSS910
CPROM742	CTSS911
CPROM742	CTSS912
CPROM743	CTSS913
CPROM744	CTSS914
CPROM745	CTSS915
CPROM745	CTSS916
CPROM745	CTSS917
CPROM745	CTSS918
CPROM746	CTSS919
CPROM747	CTSS920
CPROM748	CTSS921
CPROM749	CTSS922
CPROM749	CTSS923
CPROM749	CTSS924
CPROM749	CTSS925
CPROM749	CTSS926
CPROM749	CTSS927
CPROM750	CTSS928
CPROM751	CTSS929
CPROM752	CTSS930
CPROM753	CTSS931
CPROM754	CTSS932
CPROM755	CTSS933
CPROM756	CTSS934
CPROM757	CTSS935
CPROM758	CTSS936
CPROM759	CTSS937
CPROM760	CTSS938
CPROM761	CTSS939
CPROM762	CTSS940
CPROM763	CTSS941
CPROM764	CTSS942
CPROM765	CTSS943
CPROM765	CTSS944
CPROM766	CTSS945
CPROM767	CTSS946
CPROM768	CTSS947
CPROM769	CTSS948
CPROM770	CTSS949
CPROM771	CTSS950
CPROM772	CTSS951
CPROM772	CTSS952
CPROM773	CTSS953
CPROM773	CTSS954
CPROM773	CTSS955
CPROM774	CTSS956
CPROM775	CTSS957
CPROM776	CTSS958
CPROM777	CTSS959
CPROM778	CTSS960
CPROM779	CTSS961
CPROM780	CTSS962
CPROM781	CTSS963
CPROM782	CTSS964
CPROM783	CTSS965
CPROM784	CTSS966
CPROM785	CTSS967
CPROM785	CTSS968
CPROM786	CTSS969
CPROM787	CTSS970
CPROM788	CTSS971
CPROM789	CTSS972
CPROM790	CTSS973
CPROM791	CTSS974
CPROM791	CTSS975
CPROM792	CTSS976
CPROM793	CTSS977
CPROM794	CTSS978
CPROM794	CTSS979
CPROM794	CTSS980
CPROM794	CTSS981
CPROM794	CTSS982
CPROM795	CTSS983
CPROM796	CTSS984
CPROM797	CTSS985
CPROM798	CTSS986
CPROM799	CTSS987
CPROM800	CTSS988
CPROM801	CTSS989
CPROM802	CTSS990
CPROM803	CTSS991
CPROM804	CTSS992
CPROM805	CTSS993
CPROM805	CTSS994
CPROM806	CTSS995
CPROM807	CTSS996
CPROM808	CTSS997
CPROM808	CTSS998
CPROM809	CTSS999
CPROM810	CTSS1000
CPROM811	CTSS1001
CPROM812	CTSS1002
CPROM813	CTSS1003
CPROM814	CTSS1004
CPROM815	CTSS1006
CPROM816	CTSS1005
CPROM817	CTSS1007
CPROM818	CTSS1008
CPROM819	CTSS1009
CPROM820	CTSS1010
CPROM821	CTSS1012
CPROM822	CTSS1011
CPROM823	CTSS1013
CPROM824	CTSS1014
CPROM825	CTSS1015
CPROM826	CTSS1016
CPROM827	CTSS1017
CPROM828	CTSS1018
CPROM829	CTSS1019
CPROM830	CTSS1020
CPROM831	CTSS1021
CPROM832	CTSS1022
CPROM833	CTSS1023
CPROM834	CTSS1024
CPROM835	CTSS1025
CPROM836	CTSS1026
CPROM837	CTSS1027
CPROM838	CTSS1028
CPROM839	CTSS1029
CPROM840	CTSS1030
CPROM841	CTSS1031
CPROM842	CTSS1032
CPROM843	CTSS1033
CPROM844	CTSS1034
CPROM844	CTSS1035
CPROM845	CTSS1036
CPROM846	CTSS1037
CPROM847	CTSS1038
CPROM848	CTSS1039
CPROM849	CTSS1040
CPROM850	CTSS1041
CPROM851	CTSS1042
CPROM852	CTSS1043
CPROM853	CTSS1045
CPROM854	CTSS1044
CPROM855	CTSS1046
CPROM856	CTSS1047
CPROM857	CTSS1048
CPROM858	CTSS1049
CPROM858	CTSS1050
CPROM858	CTSS1051
CPROM859	CTSS1052
CPROM860	CTSS1053
CPROM861	CTSS1054
CPROM862	CTSS1055
CPROM862	CTSS1056
CPROM863	CTSS1057
CPROM864	CTSS1058
CPROM865	CTSS1059
CPROM866	CTSS1060
CPROM867	CTSS1061
CPROM868	CTSS1062
CPROM869	CTSS1063
CPROM870	CTSS1064
CPROM870	CTSS1065
CPROM870	CTSS1066
CPROM871	CTSS1067
CPROM872	CTSS1068
CPROM872	CTSS1069
CPROM873	CTSS1070
CPROM874	CTSS1071
CPROM874	CTSS1072
CPROM875	CTSS1073
CPROM875	CTSS1074
CPROM876	CTSS1075
CPROM876	CTSS1076
CPROM877	CTSS1077
CPROM878	CTSS1078
CPROM879	CTSS1079
CPROM880	CTSS1080
CPROM881	CTSS1081
CPROM882	CTSS1082
CPROM882	CTSS1083
CPROM882	CTSS1084
CPROM882	CTSS1085
CPROM883	CTSS1086
CPROM884	CTSS1087
CPROM885	CTSS1088
CPROM885	CTSS1089
CPROM885	CTSS1090
CPROM886	CTSS1091
CPROM887	CTSS1092
CPROM888	CTSS1093
CPROM889	CTSS1094
CPROM889	CTSS1095
CPROM890	CTSS1096
CPROM891	CTSS1097
CPROM891	CTSS1098
CPROM891	CTSS1099
CPROM892	CTSS1100
CPROM893	CTSS1101
CPROM894	CTSS1102
CPROM894	CTSS1103
CPROM895	CTSS1104
CPROM896	CTSS1105
CPROM897	CTSS1106
CPROM898	CTSS1107
CPROM899	CTSS1108
CPROM900	CTSS1109
CPROM901	CTSS1110
CPROM902	CTSS1111
CPROM903	CTSS1112
CPROM904	CTSS1113
CPROM905	CTSS1114
CPROM906	CTSS1115
CPROM907	CTSS1116
CPROM908	CTSS1117
CPROM909	CTSS1118
CPROM910	CTSS1119
CPROM911	CTSS1120
CPROM912	CTSS1121
CPROM912	CTSS1122
CPROM913	CTSS1123
CPROM914	CTSS1124
CPROM915	CTSS1125
CPROM916	CTSS1126
CPROM917	CTSS1127
CPROM918	CTSS1128
CPROM918	CTSS1129
CPROM918	CTSS1130
CPROM919	CTSS1131
CPROM920	CTSS1132
CPROM921	CTSS1133
CPROM922	CTSS1134
CPROM923	CTSS1135
CPROM924	CTSS1136
CPROM925	CTSS1137
CPROM926	CTSS1138
CPROM927	CTSS1139
CPROM928	CTSS1140
CPROM929	CTSS1141
CPROM930	CTSS1142
